summonerName,summonerLevel,rank,wins,losses,winRate,kills,deaths,assists,prefLane,campsKilled,minionsKilled,goldEarned,turretTakedowns,visionScore,dragonKills,longestTimeSpentLiving,totalDamageDealt,totalDamageTaken,gameDuration,gameStart
VeryDrinkable,218,BRONZE,8,17,0.32,5.88,5.4,13.72,NONE,31.2,79.6,11995.6,1,11.84,0,465.56,118112.52,517269,22.44333333333333,18.44933333333333
xxxInkosi,253,BRONZE,13,12,0.52,6.96,4.56,6.28,MIDDLE,40.6,150.32,13068.24,2,14.56,0,613.56,187823.2,700314,31.39,16.353333333333335
Da4kSide,329,BRONZE,15,10,0.6,6.88,7.24,10.84,SUPPORT,45.4,70.4,11951.12,2,33.56,0,550.0,156979.64,798978,31.356,20.848000000000003
Haters697,160,BRONZE,12,13,0.48,8.44,4.84,4.56,JUNGLE,79.28,85.64,13081.04,1,13.04,0,555.48,181654.76,664900,25.659333333333333,17.663999999999998
0YouCan SeeMe,320,BRONZE,13,12,0.52,4.48,4.88,12.8,JUNGLE,94.88,34.28,10754.08,1,11.36,1,622.16,175067.24,928350,30.0,9.046666666666663
mrbob18,61,BRONZE,13,12,0.52,9.2,7.12,14.44,NONE,0.96,51.24,14695.08,0,3.0,0,272.48,72167.24,642639,21.3,13.41
MRS Klunk,254,BRONZE,14,11,0.56,6.88,6.12,5.48,MIDDLE,21.56,147.56,11914.88,2,10.2,0,628.04,149904.2,698836,29.638666666666666,13.463333333333331
superob2017,233,BRONZE,12,13,0.48,11.32,9.64,8.88,JUNGLE,74.88,80.44,14043.6,1,7.92,0,402.6,185335.52,898096,30.818,16.674
SC Harpyja,462,BRONZE,13,12,0.52,5.0,8.4,9.2,ADC,5.16,144.28,11330.56,2,11.84,0,514.08,118832.44,599393,30.434,18.345333333333333
HeroXmc,198,BRONZE,12,13,0.48,6.52,5.72,4.64,MIDDLE,2.96,144.36,11267.92,2,12.56,0,507.72,123872.72,526896,29.68,18.32333333333333
MaDGuybrush,180,BRONZE,11,14,0.44,5.96,5.0,8.08,ADC,9.72,200.88,13026.12,2,19.64,0,768.68,180193.96,559036,33.272,12.369333333333334
iDàrk,236,BRONZE,16,9,0.64,7.48,9.36,19.88,NONE,1.0,73.04,13033.96,1,11.36,0,383.76,77593.4,803633,25.354666666666667,16.93
YFZ  Cursed Supp,478,BRONZE,9,16,0.36,5.88,4.96,5.44,NONE,41.0,75.52,11717.2,1,15.28,0,586.36,119044.64,721636,28.084666666666667,12.967333333333332
kleines minni me,623,BRONZE,17,8,0.68,6.2,6.36,13.52,SUPPORT,2.12,66.56,10902.72,2,51.24,0,543.92,76854.92,447343,27.97,8.607333333333335
F1P7X,214,BRONZE,13,12,0.52,7.36,8.16,5.52,TOP,13.52,177.72,12559.88,2,16.08,0,477.8,172086.68,707127,30.3,12.565333333333331
taliban molvi,161,BRONZE,12,13,0.48,8.52,7.44,6.16,MIDDLE,28.4,145.28,13394.28,1,20.44,0,545.84,170107.24,787735,27.8,11.326
fumandohash,385,BRONZE,9,16,0.36,6.32,7.72,7.96,JUNGLE,66.32,93.4,12241.44,1,23.52,0,602.08,188429.84,878560,31.840666666666667,11.304666666666666
disney24,561,BRONZE,15,10,0.6,7.48,5.0,7.0,JUNGLE,65.16,118.76,13435.08,2,14.48,0,685.32,206436.28,824300,29.56733333333333,12.238
Sushimann01,159,BRONZE,17,8,0.68,6.84,6.04,12.68,MIDDLE,1.24,118.8,14017.2,1,14.36,0,434.12,105538.08,670526,25.93133333333333,17.63533333333333
PlatzPatronPaul,314,BRONZE,11,14,0.44,5.0,6.8,8.68,MIDDLE,1.12,145.12,10638.24,2,9.76,0,531.28,112854.8,635981,29.648666666666667,17.201999999999998
Sidist,85,BRONZE,10,15,0.4,0.6,5.76,13.44,SUPPORT,0.48,16.16,7958.12,2,44.44,0,684.92,17101.4,378006,30.33533333333333,16.917333333333332
ChirpIz,240,BRONZE,11,14,0.44,2.56,4.92,12.12,NONE,13.52,11.56,11372.8,1,11.44,0,436.6,39262.12,323947,22.762666666666668,6.059333333333333
ATowel,386,BRONZE,11,14,0.44,11.6,5.76,4.44,NONE,10.44,163.16,13073.76,2,14.8,0,504.52,156914.24,768862,26.754666666666665,18.029333333333334
shawaxel,545,BRONZE,10,15,0.4,6.4,6.48,7.64,ADC,16.56,151.4,12604.96,1,25.6,0,555.24,145693.32,615962,29.792666666666666,12.366666666666667
Casqueira,229,BRONZE,12,13,0.48,7.88,8.96,12.6,TOP,9.0,119.72,12928.96,1,9.96,0,502.72,113524.08,982200,26.306,13.989333333333333
andreaskarge,476,BRONZE,14,11,0.56,6.72,8.12,5.52,JUNGLE,107.56,12.68,10379.48,1,14.36,1,450.32,159279.76,1031528,28.07,16.37666666666667
AlEmam EL Shafai,386,BRONZE,8,17,0.32,8.28,6.0,7.32,ADC,6.32,153.64,13153.64,1,11.56,0,687.92,142551.28,545099,30.654,14.561333333333332
